2021-05-24,247,70,59,27,4,48,28,96,37,35
2021-05-25,245,73,58,27,5,49,23,99,34,35
2021-05-26,250,73,57,27,4,51,26,94,37,37
2021-05-27,246,70,55,27,8,49,27,99,34,36
2021-05-28,250,71,56,27,8,52,23,98,37,35
2021-05-29,245,68,57,29,5,50,23,97,35,32
2021-05-30,248,72,56,25,6,48,27,99,36,36
2021-05-31,249,69,55,28,5,49,23,94,33,37
2021-06-01,250,72,56,27,5,47,28,99,38,36
2021-06-02,247,68,55,26,5,47,27,97,35,35
2021-06-03,248,73,59,25,8,49,23,99,35,37
2021-06-04,249,71,56,28,5,49,24,98,37,36
2021-06-05,245,69,56,27,4,52,23,94,34,37
2021-06-06,247,72,56,26,5,51,23,94,38,35
2021-06-07,245,73,60,29,7,48,27,94,38,35
2021-06-08,250,71,60,29,6,51,25,94,34,36
2021-06-09,248,72,57,26,8,49,27,97,36,36
2021-06-10,245,68,57,28,9,50,26,96,35,35
2021-06-11,247,72,60,27,5,47,26,96,37,32
2021-06-12,250,69,57,25,8,47,24,97,38,32
2021-06-13,247,73,58,26,4,47,25,94,34,33
2021-06-14,249,73,56,27,5,50,25,98,36,33
2021-06-15,246,73,55,25,6,49,28,98,33,33
2021-06-16,245,73,56,30,5,52,27,99,36,37
2021-06-17,250,69,57,28,5,52,23,96,34,34
2021-06-18,245,70,58,25,6,50,25,95,35,34
2021-06-19,250,72,60,27,9,51,25,99,35,37
2021-06-20,246,72,57,25,7,52,28,95,36,34
2021-06-21,247,70,58,26,8,51,27,98,38,35
2021-06-22,246,69,59,30,8,50,24,99,33,34
2021-06-23,250,69,60,28,9,51,25,99,36,35
2021-06-24,245,70,60,26,6,49,24,94,38,35
2021-06-25,248,70,58,29,6,47,27,94,35,37
2021-06-26,250,68,58,28,8,48,23,97,37,35
2021-06-27,246,72,55,26,5,48,24,98,34,32
2021-06-28,249,69,60,30,9,52,23,96,36,37
2021-06-29,249,73,56,28,7,50,28,98,35,36
2021-06-30,246,69,55,28,7,50,23,95,37,35
2021-07-01,246,71,55,26,9,51,27,98,35,37
2021-07-02,247,72,57,30,5,49,27,94,34,36
2021-07-03,246,69,56,26,4,49,24,95,36,34
2021-07-04,245,69,60,27,8,49,27,97,37,34
2021-07-05,245,72,59,30,7,49,24,94,34,32
